barsStartMedian,barsStartMean,barsStartVariance,barsStartRange,beatsStartMedian,beatsStartMean,beatsStartVariance,beatsStartRange,sectionsStartMedian,sectionsStartMean,sectionsStartVariance,sectionsStartRange,segmentsMaxLoudnessMedian,segmentsMaxLoudnessMean,segmentsMaxLoudnessVariance,segmentsMaxLoudnessRange,segmentsMaxLoudnessTimeMedian,segmentsMaxLoudnessTimeMean,segmentsMaxLoudnessTimeVariance,segmentsMaxLoudnessTimeRange,segmentsMaxLoudnessStartMedian,segmentsMaxLoudnessStartMean,segmentsMaxLoudnessStartVariance,segmentsMaxLoudnessStartRange,segmentsStartMedian,segmentsStartMean,segmentsStartVariance,segmentsStartRange,tatumsStartMedian,tatumsStartMean,tatumsStartVariance,tatumsStartRange,timbre0Median,timbre0Mean,timbre0Variance,timbre0Range,timbre1Median,timbre1Mean,timbre1Variance,timbre1Range,timebre2Median,timebre2Mean,timebre2Variance,timebre2Range,timbre3Median,timbre3Mean,timbre3Variance,timbre3Range,timbre4Median,timbre4Mean,timbre4Variance,timbre4Range,timbre5Median,timbre5Mean,timbre5Variance,timbre5Range,timbre6Median,timbre6Mean,timbre6Variance,timbre6Range,timbre7Median,timbre7Mean,timbre7Variance,timbre7Range,timbre8Median,timbre8Mean,timbre8Variance,timbre8Range,timbre9Median,timbre9Mean,timbre9Variance,timbre9Range,timbre10Median,timbre10Mean,timbre10Variance,timbre10Range,timbre11Median,timbre11Mean,timbre11Variance,timbre11Range,pitch0Median,pitch0Mean,pitch0Variance,pitch0Range,pitch1Median,pitch1Mean,pitch1Variance,pitch1Range,pitch2Median,pitch2Mean,pitch2Variance,pitch2Range,pitch3Median,pitch3Mean,pitch3Variance,pitch3Range,pitch4Median,pitch4Mean,pitch4Variance,pitch4Range,pitch5Median,pitch5Mean,pitch5Variance,pitch5Range,pitch6Median,pitch6Mean,pitch6Variance,pitch6Range,pitch7Median,pitch7Mean,pitch7Variance,pitch7Range,pitch8Median,pitch8Mean,pitch8Variance,pitch8Range,pitch9Median,pitch9Mean,pitch9Variance,pitch9Range,pitch10Median,pitch10Mean,pitch10Variance,pitch10Range,pitch11Median,pitch11Mean,pitch11Variance,pitch11Range,timeSignature,songKey,mode,startOfFadeOut,duration,endOfFadeIn,danceability,energy,loudness,tempo,hotness
133.32036,133.336470558,5853.63157645,264.24324,133.32036,133.336470558,5853.63157645,264.24324,110.36386,120.810678182,6025.56583733,255.09747,-11.063,-12.6734456233,37.5801064009,53.009,0.04268,0.0536429708223,0.00145449273512,0.49279,-18.965,-19.8510433245,42.6717379265,51.767,128.1015,129.713690274,5685.51781037,264.65755,133.1863,133.209201894,5853.89456781,264.43856,45.437,43.9513448276,35.7904712498,50.783,-0.06,-0.206063660477,1126.62687013,258.224,44.874,40.4175030946,1520.89199517,254.692,8.561,8.85439964633,829.367722052,315.86,8.986,8.72749867374,797.038420345,191.674,-11.423,-7.67480548187,749.12957398,266.272,1.428,1.60648541114,287.321194771,112.836,-2.002,-1.23681697613,342.624983354,137.318,-8.218,-10.4807524315,426.846819458,145.613,-7.638,-8.23633952255,243.587113948,167.855,3.859,3.45503183024,256.279903944,235.983,2.826,1.82454995579,221.996623167,126.122,0.644,0.640192749779,0.0875358196114,0.958,0.503,0.547231653404,0.083296080731,0.961,0.365,0.419411140584,0.0652891368874,0.996,0.399,0.467920424403,0.0795101987959,0.993,0.304,0.352934571176,0.0432940169392,0.988,0.347,0.428946065429,0.0964974657029,0.977,0.304,0.365309460654,0.0630676425188,0.977,0.378,0.45067285588,0.075010904471,0.972,0.382,0.440513704686,0.0764678430925,0.99,0.291,0.367966401415,0.0683467910904,0.993,0.301,0.374652519894,0.0676345220516,0.978,0.232,0.299115826702,0.0487881784498,0.973,1.0,8.0,1.0,253.423,269.00853,0.0,0.0,0.0,-9.699,118.044,0.547003914303
247.507635,247.377624091,20331.4598096,492.41436,248.641515,248.547603258,20563.9246746,496.64287,225.6977,229.322057333,22192.7887032,487.48861,-5.101,-6.03587751747,22.1782766171,60.357,0.02658,0.0350818207974,0.000740351155624,0.31916,-13.127,-14.1646115906,33.310440605,56.759,251.81166,251.666440884,21596.672329,497.08372,248.64709,248.547590287,20544.5389408,496.64287,50.419,49.6617887382,21.4533053306,57.267,34.758,29.5356095356,2125.09563962,400.619,1.899,2.73483806001,1398.24481976,294.791,9.065,12.7983810111,1212.37069212,542.458,-1.968,-1.5697081792,619.864252614,215.062,-26.364,-25.5638688861,726.757930268,381.903,2.229,1.46409535553,360.016454792,137.277,3.431,3.32156720099,283.077640051,228.775,5.114,6.39887094122,225.799576446,124.008,5.191,5.76927414714,215.648445335,167.473,6.753,7.11407727086,229.557833507,183.469,-0.879,-0.607760789149,183.723317159,156.835,0.902,0.784913686806,0.0657718191016,0.97,0.508,0.555,0.0904633489519,0.981,0.351,0.386274558159,0.054527253841,0.99,0.351,0.368124948623,0.0526901718108,0.98,0.309,0.347963830662,0.0314202280383,0.982,0.608,0.625987258529,0.100001003126,0.973,0.269,0.310284833539,0.0331640080602,0.981,0.216,0.303113440197,0.0530378556065,0.977,0.18,0.282234689684,0.0601763645673,0.984,0.216,0.267603370325,0.0311417945961,0.98,0.167,0.247071105631,0.0444295843398,0.989,0.493,0.513547472256,0.0707471306071,0.989,4.0,0.0,1.0,489.86,500.29669,0.206,0.0,0.0,-3.223,128.006,0.523166108211
106.44193,106.451682437,3782.42692814,211.15011,107.33978,107.346745052,3830.50629754,213.8267,71.53208,80.3302309091,3164.56946501,179.41593,-4.067,-4.5890845987,6.40163976725,14.326,0.034385,0.0487200759219,0.00154038187668,0.30008,-10.2455,-11.4200097614,21.5440617255,56.316,101.874555,104.965297668,3586.29139922,214.2942,107.22761,107.234943006,3830.50867297,214.04949,53.2405,52.4904577007,7.51269141307,15.511,67.134,66.6417462039,1015.62572596,188.258,-1.8315,-6.79363665944,1292.27402634,241.604,-9.0805,-7.66598481562,611.982079223,172.667,8.3435,8.87306507592,464.551985532,155.058,-22.0175,-20.0086258134,486.731067965,309.086,-4.627,-3.58096746204,363.397593272,129.328,7.489,8.85130477223,405.79952414,150.881,-3.666,-4.18094685466,175.157749773,89.355,4.611,4.35025921909,159.128919756,122.589,3.884,3.96054229935,155.599050424,178.857,-1.1305,-2.33724295011,184.744279383,106.112,0.3785,0.426127982646,0.0806522526009,0.978,0.3485,0.42848373102,0.0742194254403,0.96,0.2045,0.239126898048,0.0281979155672,0.871,0.2775,0.330047722343,0.0491639369851,0.983,0.284,0.414699566161,0.114344637505,0.982,0.311,0.352218004338,0.0482049036672,0.972,0.351,0.507044468547,0.120136738803,0.957,0.21,0.271534707158,0.0403358735243,0.971,0.165,0.207881778742,0.0224148070649,0.978,0.1605,0.227096529284,0.0382018724608,0.986,0.188,0.233625813449,0.0296222081406,0.968,0.447,0.546313449024,0.141472761836,0.986,4.0,1.0,0.0,214.778,214.77832,0.0,0.0,0.0,-3.477,134.001,0.495307339044
69.617945,69.9053570313,1614.33950636,137.53473,70.96703,71.2703249237,1692.26772626,142.53345,58.27757,65.7199571429,2711.73620167,137.60387,-14.627,-15.4713904924,23.9808690665,53.931,0.03638,0.0478941426146,0.00685320445075,1.88898,-21.544,-22.3219439728,31.0341034587,49.366,70.63873,70.2212497284,1606.51793412,142.71175,70.96841,71.270146673,1685.76303145,142.53345,42.007,41.3524108659,23.5694793388,49.835,-67.911,-69.0122495756,2192.78372063,403.143,36.131,33.8486536503,1786.65965498,277.167,11.493,11.6849049236,1222.32968271,442.112,-5.886,-6.19714601019,917.066232906,182.003,-17.653,-15.0213140917,721.540454531,377.373,22.233,26.0404159593,692.554273034,166.126,1.982,1.03661460102,594.958570763,193.908,-8.34,-11.1638862479,496.326893038,145.884,-7.508,-8.56093039049,325.422278302,144.741,3.476,3.3325483871,217.118871198,112.49,1.508,2.06567232598,314.463572519,160.074,0.351,0.416432937182,0.071242340579,0.977,0.447,0.49263327674,0.0811529079589,0.968,0.421,0.490368421053,0.0801180017872,0.975,0.366,0.390972835314,0.0447083727765,0.962,0.795,0.685016977929,0.105870383413,0.967,0.303,0.348575551783,0.0444506755313,0.983,0.343,0.386665534805,0.0572828847374,0.967,0.353,0.421772495756,0.0699728548632,0.973,0.313,0.350427843803,0.0451087948784,0.985,0.404,0.465303904924,0.0847943949084,0.973,0.266,0.315872665535,0.0417463080644,0.987,0.362,0.451904923599,0.0839433933374,0.973,4.0,2.0,1.0,138.17,144.56118,0.223,0.0,0.0,-12.817,110.112,0.485122364102
108.07851,108.202840659,3921.37389739,215.23315,108.56541,108.690958378,3968.61785198,217.48163,62.82553,81.9486775,5454.15696156,207.69209,-13.411,-14.5078261328,29.8468202279,53.84,0.02806,0.0359483350896,0.000793002269093,0.34594,-21.65,-24.8281296101,69.5273175564,46.585,109.98336,109.306136449,4014.14357729,217.80231,108.56581,108.69115539,3974.49063384,217.80411,42.431,40.5804183351,34.918782393,48.583,-36.365,-42.1088345627,2248.91290477,376.992,8.094,-3.03209799789,3955.56361661,334.415,13.491,22.1090505796,2007.92077487,378.892,-9.645,-7.46857744995,750.70203335,179.859,-16.103,-7.6678061117,1488.54773713,277.791,-10.282,-10.3018967334,604.844521003,161.263,-11.587,-11.3899567966,536.349574402,229.287,11.175,10.9083835616,372.444523906,126.851,5.719,4.10194415174,365.633894207,139.275,7.827,7.57678082192,463.889240926,173.634,3.708,3.23767228662,459.40913154,146.961,0.353,0.435601685985,0.0784831016199,0.974,0.266,0.339368809273,0.0629984477521,0.985,0.227,0.325103266596,0.0819198397048,0.989,0.171,0.221982086407,0.0311242241259,0.986,0.215,0.33708113804,0.0873641441015,0.99,0.209,0.292638566913,0.0564450885442,0.979,0.383,0.435483667018,0.0732371875625,0.989,0.265,0.358489989463,0.0796906060642,0.982,0.257,0.373875658588,0.0980403933906,0.985,0.329,0.443775553214,0.106945952785,0.979,0.325,0.400382507903,0.0826105207056,0.988,0.477,0.550458377239,0.139281755117,0.989,4.0,9.0,1.0,217.954,222.58893,0.189,0.0,0.0,-11.523,185.001,0.4830645596
105.32732,105.615377611,3594.18129692,212.19795,106.23984,106.507871591,3628.28234598,214.21483,116.37163,107.431055,5347.09790111,208.66659,-11.819,-13.5455589155,38.2768076209,55.091,0.03567,0.0449372262774,0.000982554027969,0.29971,-18.876,-22.0577403545,81.2780979962,50.219,108.02785,107.254429041,3698.82266799,214.49551,106.23984,106.507256242,3622.83159485,214.21483,45.043,42.593649635,49.6114025571,51.047,-15.066,-5.50141710115,2414.72369481,366.737,33.299,19.8401845673,3038.65413622,321.95,10.936,14.515713243,1237.09959049,453.588,-2.845,-0.174380604797,654.090722699,138.765,-13.36,-9.29601564129,885.310020868,256.371,12.804,11.0091167883,357.761746487,139.585,-5.106,-1.35259645464,554.757392718,171.619,7.514,7.17771324296,205.594972859,92.41,-0.881,-0.956758081335,308.351300772,140.424,1.38,1.7877810219,220.01887469,129.31,1.033,1.10111470282,133.822917422,73.864,0.46,0.503790406674,0.0829461385524,0.992,0.537,0.578921793535,0.107038729025,0.993,0.379,0.42175286757,0.069671476986,0.978,0.355,0.432473409802,0.0825030021605,0.984,0.267,0.318215849844,0.0509993892795,0.994,0.256,0.314201251303,0.0469622316564,0.989,0.384,0.440882168926,0.0789243375236,0.986,0.324,0.378229405631,0.0694377096254,0.982,0.391,0.466437956204,0.111125042814,0.981,0.268,0.341916579771,0.0641453903299,0.984,0.279,0.35224713243,0.0628924717723,0.986,0.324,0.434690302398,0.111230069885,0.987,4.0,1.0,1.0,206.971,221.23057,0.229,0.0,0.0,-11.02,197.769,0.468997787645
161.192885,159.712430978,8275.636999,310.13006,161.87785,160.381952956,8365.68482327,316.75846,147.80249,152.293845,10033.3413101,310.61701,-13.981,-14.9955272152,24.7647029113,50.027,0.03411,0.0460676139241,0.00134957642146,0.35821,-23.6105,-24.3125601266,49.9969292021,50.145,165.72982,159.458668019,8216.72803092,317.10032,161.74319,160.262400392,8366.10484143,317.00228,41.864,40.9402367089,28.4775176668,49.115,-8.595,-8.72964936709,2429.31528402,317.42,1.536,4.8734221519,2690.9593261,283.448,6.383,10.4134537975,1474.68192983,634.465,-14.523,-14.5225911392,540.335846453,173.325,-12.6385,-7.7571164557,939.62238957,307.197,-2.64,-1.6502443038,480.418870597,183.765,-0.87,-1.28180189873,433.552597892,213.587,11.682,10.7511981013,328.144111956,136.761,6.214,6.53797594937,287.129032015,136.546,4.691,3.90083544304,349.333388017,157.747,5.118,5.38614810127,333.934861183,165.3,0.4915,0.530777848101,0.0891090791295,0.959,0.45,0.504387974684,0.0859214045389,0.965,0.3045,0.365275949367,0.0563488466368,0.979,0.346,0.409566455696,0.0685577531786,0.974,0.397,0.434492405063,0.0570559334866,0.976,0.414,0.467776582278,0.0751901152744,0.97,0.349,0.403928481013,0.0616968727331,0.973,0.4475,0.489924683544,0.0753580962262,0.975,0.605,0.598841772152,0.0890785217994,0.97,0.588,0.578441772152,0.0868130681285,0.973,0.5055,0.530459493671,0.090228400258,0.969,0.259,0.338260759494,0.0700126054222,0.989,7.0,5.0,0.0,308.587,321.14893,0.0,0.0,0.0,-12.496,123.895,0.466304830757
148.198245,145.933607761,6516.00658297,277.41945,146.35244,144.738531693,6637.94546165,283.88015,89.25225,121.828169091,8952.73833079,278.27507,-10.539,-13.9869356322,83.3498539637,58.225,0.02771,0.0376934252874,0.00114959897149,0.3476,-17.48,-21.7775141762,107.634596998,53.853,148.41914,141.422297295,6343.53350165,284.44712,146.467905,144.865455125,6637.29992569,284.13876,46.353,42.4424528736,87.0087012056,54.877,51.769,47.0919785441,3900.85693473,397.496,-10.116,-13.2742145594,1113.84189925,212.521,-3.927,-2.81082758621,807.591186449,392.003,-16.763,-18.9344183908,725.421338188,175.461,-24.592,-22.666440613,497.839677879,286.775,-21.143,-21.1057034483,337.873096183,130.955,3.763,5.05556321839,429.1493486,170.208,1.512,1.77217624521,244.437997534,106.471,1.558,2.11900383142,285.230453369,137.549,7.454,8.08515019157,190.000334161,195.608,1.384,-0.380777011494,264.216678592,131.813,0.448,0.50201532567,0.0947181162402,0.988,0.561,0.583005363985,0.104107919511,0.98,0.406,0.458700383142,0.0728424259386,0.978,0.312,0.35893256705,0.0467961854911,0.984,0.368,0.409938697318,0.0645832452841,0.984,0.34,0.394774712644,0.0634529254908,0.992,0.332,0.37269348659,0.0515668669691,0.985,0.43,0.485928735632,0.0820097826609,0.991,0.459,0.522087356322,0.0890370912194,0.991,0.394,0.448823754789,0.07042573752,0.981,0.275,0.319715708812,0.0449909912092,0.99,0.2,0.269012260536,0.0475085944857,0.993,4.0,2.0,1.0,278.361,289.04444,0.36,0.0,0.0,-8.769,119.861,0.463489662237
134.570735,134.572033235,6090.6017611,269.03888,135.23388,135.234698788,6105.70202932,270.36841,124.13351,119.942017143,7097.46056252,263.45102,-15.002,-15.4811346023,42.1079140635,55.664,0.03708,0.0475978925901,0.00107272728026,0.28764,-22.446,-23.5796138681,36.9922762805,47.752,135.8683,135.154717444,5708.00450444,270.55596,135.23388,135.234706669,6098.23932583,270.36841,41.423,40.4734853841,34.4645238378,50.387,-17.853,-16.8712216179,1515.35881858,323.67,-38.915,-38.6624282801,1492.81271669,282.043,-10.512,-5.36410265126,1309.60193842,406.815,7.782,8.62562882393,746.366932731,205.861,-19.749,-16.0294140041,655.604240089,359.099,2.87,3.89671040109,417.641453206,172.93,-6.764,-6.52164513936,336.103150054,205.927,10.004,10.4058157716,256.519839651,133.597,-0.475,-1.79154316791,274.448927271,144.751,4.753,4.99082800816,185.256686557,129.482,-4.438,-5.17590686608,236.885089534,105.707,0.61,0.599670292318,0.0876367662079,0.979,0.635,0.63521481985,0.0905737458307,0.968,0.344,0.429435757988,0.0825537115426,0.992,0.217,0.27029367777,0.0433165391782,0.994,0.213,0.268501699524,0.0469390209013,0.994,0.244,0.302514615908,0.0616528249053,0.994,0.348,0.418282121006,0.0999352317606,0.991,0.466,0.507839564922,0.1230016901,0.994,0.394,0.435184228416,0.0919603746255,0.992,0.25,0.335462950374,0.0785725110339,0.991,0.316,0.388497620666,0.0903887489746,0.996,0.245,0.330635622026,0.0805307142715,0.996,4.0,7.0,1.0,257.794,272.84853,1.019,0.0,0.0,-10.046,181.151,0.460541281359
66.814405,66.5360606061,1406.48595663,128.32282,67.14092,67.052779122,1484.62430973,132.89439,64.862435,63.6976616667,2081.13516995,122.29214,-8.812,-9.99261333333,20.0360969246,24.531,0.03155,0.0406747555556,0.00103287800242,0.39121,-21.597,-22.3165762963,51.9106884901,55.296,68.84395,68.1100141333,1520.16287466,133.56091,67.14092,67.0526693171,1484.65546906,133.32823,46.931,45.1991022222,21.7255863614,24.833,36.195,24.7012237037,4355.36237986,562.551,-43.233,-39.4574859259,2404.31454786,298.64,12.63,14.5118296296,1660.43285891,374.042,-8.268,-6.18760444444,705.179054844,181.296,-4.967,2.50290518519,1409.7854869,259.873,3.458,0.386555555556,421.846332671,131.456,-3.226,-2.58941185185,610.156548939,173.961,1.987,2.78060592593,430.862135024,140.484,8.865,10.8900207407,410.059207262,194.577,1.739,2.71739703704,401.046760562,175.7,9.926,9.51325333333,195.136825505,88.354,0.595,0.599952592593,0.0901854407155,0.969,0.619,0.604014814815,0.0938240531139,0.944,0.329,0.387405925926,0.0692700248538,0.981,0.304,0.356016296296,0.0631396812159,0.981,0.356,0.408662222222,0.0624490325728,0.958,0.366,0.388122962963,0.033610276732,0.948,0.491,0.542534814815,0.0792739821213,0.977,0.495,0.520931851852,0.0659568190595,0.978,0.354,0.453694814815,0.0815825024176,0.95,0.363,0.492672592593,0.116397206878,0.966,0.36,0.433754074074,0.0822612313723,0.968,0.322,0.415820740741,0.0940295100883,0.993,3.0,7.0,1.0,133.773,133.77261,0.0,0.0,0.0,-7.758,92.116,0.447135796286
149.86479,149.867099545,7456.3804002,298.73932,149.86479,149.867099545,7456.3804002,298.73932,144.893375,136.7688625,7469.33174348,292.34553,-14.812,-15.1813005579,38.9283895268,55.078,0.04155,0.047230223152,0.000690220584887,0.26413,-25.7925,-26.508804742,42.144901337,48.872,149.30195,150.429882197,7253.04812124,299.14005,149.68931,149.692425289,7456.43934484,299.09776,39.893,39.2638305439,33.0489506596,50.643,-29.399,-29.4361380753,3109.14194314,441.971,-70.8345,-69.5861457462,2174.36646962,301.158,-8.639,-8.45506694561,2048.18561626,477.245,17.802,17.4661576011,822.589284034,185.626,1.535,5.98550906555,1587.86494124,329.817,-1.5705,-3.40904811715,635.960710017,188.325,-8.935,-6.5630209205,800.210844299,202.698,18.8355,18.9265174338,474.50824017,190.513,-3.2725,-3.93073849372,584.056093419,151.726,-6.7825,-6.89878382148,398.864562243,146.214,-4.335,-6.25233333333,306.853185662,135.152,0.6255,0.611920502092,0.100279250305,0.98,0.8165,0.689927475593,0.110378588882,0.98,0.1745,0.222235006974,0.0332033569056,0.995,0.16,0.236189679219,0.0490225846634,0.995,0.1725,0.261377963738,0.0656260942424,0.996,0.11,0.167508368201,0.0308547171545,0.996,0.155,0.257716178522,0.0724423594733,0.997,0.136,0.214765690377,0.048741833523,0.997,0.246,0.365864016736,0.100190782764,0.995,0.1455,0.217517433752,0.0490897908397,0.995,0.235,0.340685495119,0.0851467413935,0.997,0.1615,0.274679916318,0.082252990294,0.997,1.0,8.0,0.0,290.354,302.65424,0.194,0.0,0.0,-10.557,114.523,0.439202489315
116.47333,116.310486566,4479.87749316,232.11601,116.47333,116.310486566,4479.87749316,232.11601,102.80397,99.3289411111,4025.85781662,202.41832,-6.7225,-6.96274952562,8.16367799419,17.678,0.023345,0.0386813662239,0.00145924981066,0.32767,-15.973,-18.224756167,67.7681017821,53.953,119.09991,118.228580674,4599.33287875,232.37361,116.47275,116.310674874,4470.81290205,232.11601,49.203,48.3421555977,12.6648867253,21.332,28.5085,12.8929250474,7258.49261153,525.367,-42.5465,-41.2427618596,2508.14740107,372.525,9.405,14.6183121442,2710.74124461,355.855,6.421,1.05457969639,1743.34971518,273.353,-26.792,-19.3813225806,1610.97327905,331.326,28.1135,30.8582220114,568.919681566,150.494,-14.5225,-22.0149297913,2276.97817615,320.04,-0.9555,-0.0820474383302,501.499994206,143.859,7.989,4.34091271347,592.556956782,270.81,-5.092,-4.0295370019,815.00649903,214.495,3.8345,2.25175047438,201.596642151,105.262,0.3845,0.493369070209,0.135674915969,0.985,0.4505,0.49644402277,0.127288186145,0.972,0.234,0.356844402277,0.113768461558,0.994,0.171,0.225412713472,0.0324722423811,0.993,0.1965,0.268019924099,0.0489291884076,0.995,0.1365,0.187528462998,0.028205655262,0.995,0.1745,0.298130929791,0.0894035995557,0.994,0.2095,0.321272296015,0.0939532190238,0.995,0.354,0.424769449715,0.112836171704,0.995,0.396,0.492088235294,0.15479854155,0.992,0.15,0.203411764706,0.0365798437326,0.995,0.213,0.345981024668,0.0931237776286,0.997,1.0,7.0,1.0,232.62,232.61995,0.0,0.0,0.0,-5.589,128.469,0.434838090261
36.69506,32.868465,343.495102341,54.91529,30.30653,30.9595223913,329.783835989,62.02133,28.266715,28.266715,799.007176891,56.53343,-27.125,-28.3591117021,59.7373735035,44.108,0.034605,0.0470669148936,0.00130755794155,0.29619,-34.8335,-37.649356383,107.159500176,35.999,24.25626,25.6992775532,197.531744793,62.88853,30.65334,31.3028065574,326.446467318,62.72305,28.7445,27.3776755319,67.9060681447,40.238,-46.7875,-46.4490053191,5296.72441516,417.822,19.253,11.7026968085,2532.65938484,283.555,16.7895,23.7691595745,2567.90842975,347.382,-5.15,-3.55205319149,1588.83033502,162.089,-11.374,-9.13063829787,778.861757699,225.258,-0.7375,-0.246553191489,444.69805613,132.229,2.478,12.7183351064,2926.84666689,261.712,-18.4955,-19.0311595745,264.102125538,111.863,-13.1525,-7.0675,855.23743042,189.47,7.2895,8.10164361702,285.039881432,119.22,0.203,0.0296861702128,205.465263705,85.948,0.514,0.531856382979,0.104574495332,0.981,0.56,0.529021276596,0.0983805208239,0.977,0.4675,0.460037234043,0.0736746209541,0.987,0.4625,0.470579787234,0.0918593181021,0.987,0.486,0.471808510638,0.081263005885,0.992,0.434,0.472579787234,0.0877789564,0.991,0.48,0.469840425532,0.0814060596424,0.981,0.52,0.527090425532,0.0964967737381,0.985,0.5085,0.506441489362,0.0863332146616,0.991,0.5015,0.478404255319,0.0921552727478,0.986,0.5115,0.53860106383,0.109978537658,0.996,0.591,0.563510638298,0.103357047759,0.988,4.0,10.0,1.0,54.555,63.58159,7.076,0.0,0.0,-23.661,42.98,0.430160637018
199.71512,199.440697285,13256.7409462,397.59413,201.0658,200.796456659,13408.0281606,401.17634,252.14106,234.219483846,16886.0384707,392.73766,-11.892,-12.4296369832,49.6304671426,44.915,0.03019,0.0355867196729,0.00142588043204,1.04677,-22.262,-24.1870040891,57.511386065,49.855,199.56109,193.307670436,11606.0241927,401.70812,201.17833,200.909381333,13408.0480769,401.40282,43.021,41.7518323489,41.1520518551,43.125,67.395,72.1715184007,3633.25482062,441.794,-41.694,-30.6894820536,3869.7461265,363.501,24.914,28.3652421627,2179.10796508,359.282,-1.756,2.83852567015,1189.51773608,270.354,-16.99,-7.86585233985,1874.20608818,366.223,14.033,16.08435393,736.747118588,229.599,5.148,6.42913993639,812.841997127,198.314,-5.079,-5.20762380736,297.706646669,180.264,6.212,5.88960063607,393.223200482,171.26,4.908,6.28297183099,416.68064919,208.626,2.742,3.00643116765,325.554102169,162.353,0.546,0.563121308496,0.0930224936895,0.987,0.662,0.64667969105,0.0940156270705,0.991,0.438,0.485626079055,0.112218962864,0.996,0.251,0.314387096774,0.0539367670121,0.99,0.237,0.286215810995,0.053881770327,0.994,0.321,0.414165379373,0.125206014449,0.995,0.229,0.318301681054,0.0718530175755,0.994,0.219,0.339810540663,0.0947169286667,0.995,0.236,0.337988641527,0.0902606618428,0.994,0.228,0.33452567015,0.0825143156745,0.987,0.22,0.326451158564,0.0818292707858,0.992,0.163,0.258066787824,0.0625987574658,0.996,4.0,10.0,0.0,401.92,401.91955,0.0,0.0,0.0,-6.937,133.023,0.400039656955
97.07662,97.0913068269,3169.45581873,193.18428,98.01104,98.0290771838,3215.65719779,196.01632,122.39542,108.247419,3878.33694624,189.94203,-9.2465,-10.1412207447,23.7033996321,48.357,0.031425,0.0413633111702,0.00099401842135,0.28485,-15.4905,-17.4823085106,42.5573054234,51.631,102.904895,100.323050146,3198.34409963,196.18875,98.088725,98.1072492118,3210.55730477,196.17351,47.618,46.2015053191,26.2181429548,49.155,45.251,39.1050345745,1081.38863672,274.506,22.3345,21.6506050532,1705.09748075,253.712,10.749,12.8978856383,659.969163391,218.877,-40.2335,-43.8928005319,650.782679588,133.371,-21.3375,-18.4624441489,775.513400848,330.936,10.919,16.7784308511,571.321615006,145.877,-0.983,-1.05420079787,225.367536243,103.953,9.243,11.601331117,273.193330934,107.709,11.548,13.3605890957,291.708090987,125.903,-0.2225,0.218541223404,218.740803304,170.559,-7.62,-6.07408111702,252.7185015,119.465,0.7715,0.722385638298,0.0624097635171,0.895,0.5105,0.545769946809,0.064257506916,0.915,0.265,0.351537234043,0.0694970970179,0.978,0.41,0.466373670213,0.0935054920195,0.972,0.523,0.570464095745,0.0958959987109,0.977,0.323,0.361821808511,0.0395744629286,0.976,0.3205,0.3440625,0.0248111862533,0.929,0.274,0.300494680851,0.0264133324185,0.969,0.3555,0.392253989362,0.0508421682022,0.989,0.356,0.387003989362,0.0545808523777,0.991,0.4955,0.563025265957,0.0982471123935,0.968,0.4705,0.520510638298,0.119827154142,0.986,4.0,11.0,1.0,188.563,198.39955,0.0,0.0,0.0,-7.622,127.962,0.392008771471
